id,title,release_year,rating
1,A Knight of the Seven Kingdoms,2026,8.3
2,His & Hers,2026,7.2
3,The Pitt,2026,8.9
4,Landman,2026,8.2
5,Agatha Christie's Seven Dials,2026,6.2
6,Stranger Things,2026,8.6
7,Fallout,2026,8.3
8,The Night Manager,2026,8
9,Steal,2026,7.1
10,The Beauty,2026,6.1
11,Marshals,2026,N/A
12,Heated Rivalry,2026,9
13,Jujutsu Kaisen,2026,8.5
14,Free Bert,2026,6.5
15,Star Trek: Starfleet Academy,2026,4.2
16,Game of Thrones,2026,9.2
17,Ponies,2026,7
18,Breaking Bad,2026,9.5
19,Finding Her Edge,2026,5.8
20,Pluribus,2026,8
21,Run Away,2026,6.9
22,The Rookie,2026,8
23,Percy Jackson and the Olympians,2026,7
24,Hijack,2026,7.4
25,Tell Me Lies,2026,7.1
